transaction_id,transaction_date,merchant_name,merchant_category,merchant_location,merchant_country,amount,merchant_logo_url,merchant_website,is_recurring,risk_score,is_high_value
5bae112f-8eb9-401f-aa0f-fe0cf7555900,06:14.5,Indigo,Bookstore,"91332 White Lane, Port Jasonbury, VA, Canada",CA,142.35,https://logo.clearbit.com/indigo.ca,https://www.chapters.indigo.ca,TRUE,0.66,FALSE
3e72c557-fcd2-45aa-9d56-8fc98a4ca7b3,21:04.2,Walmart,Department Store,"4523 Lopez Locks Suite 497, Mcguireburgh, KS, Canada",CA,169.67,https://logo.clearbit.com/walmart.com,https://www.walmart.com,FALSE,0.9,FALSE
8718603f-7555-4b6c-b341-ada235a4d40c,47:00.1,Starbucks,Coffee Shops,"3420 Wright Terrace Suite 734, Gregoryfort, MP, Canada",CA,453.33,https://logo.clearbit.com/starbucks.com,https://www.starbucks.com,FALSE,0.52,TRUE
dfb940f6-58ca-49d5-b67d-889783129708,37:19.1,Best Buy,Electronics,"52665 Hart Circles Suite 762, Kristinhaven, AR, Canada",CA,211.11,https://logo.clearbit.com/bestbuy.ca,https://www.bestbuy.ca,TRUE,0.06,FALSE
dedf4f72-1918-43fd-a42c-2891196947cc,12:43.5,Indigo,Bookstore,"4147 Robinson Lodge Suite 247, Sandrafurt, NE, Canada",CA,78.02,https://logo.clearbit.com/indigo.ca,https://www.chapters.indigo.ca,FALSE,0.08,FALSE
2731eb49-63a5-47ed-ba1e-658f142e4727,39:25.9,Apple,Technology,"3896 Kathleen Trafficway, Julieberg, LA, Canada",CA,27.03,https://logo.clearbit.com/apple.com,https://www.apple.com,TRUE,0.69,FALSE
77c69650-d646-42bc-9e15-d996b57766df,22:27.5,Best Buy,Electronics,"9241 Wells Estate Suite 638, West Joseph, TN, Canada",CA,90.62,https://logo.clearbit.com/bestbuy.ca,https://www.bestbuy.ca,TRUE,0.31,FALSE
e599ad54-ce16-4091-a0ab-7147a4e42559,38:47.8,Indigo,Bookstore,"639 Robert Courts Suite 824, Lawrencebury, RI, Canada",CA,178.59,https://logo.clearbit.com/indigo.ca,https://www.chapters.indigo.ca,FALSE,0.47,FALSE
b34f9a06-9bd9-4ef5-a8f9-18b61bc99275,16:55.5,Amazon,Online Retail,"1538 Craig Tunnel, Lake Steven, AK, Canada",CA,285.26,https://logo.clearbit.com/amazon.com,https://www.amazon.com,FALSE,0.09,TRUE
ee3ac5d0-de94-4297-9567-8dcb2282c056,38:50.5,Amazon,Online Retail,"72607 Kimberly Trail Apt. 148, Olsenside, MH, Canada",CA,95.34,https://logo.clearbit.com/amazon.com,https://www.amazon.com,TRUE,0.19,FALSE
6d88c118-3b83-4132-9604-4365e47eb9d7,10:20.4,Uber,Transportation,"4931 Tiffany Heights, Bowersshire, WI, Canada",CA,315.18,https://logo.clearbit.com/uber.com,https://www.uber.com,TRUE,0.77,TRUE
8975b565-8f1c-4977-bb40-9974d3fa9b56,50:37.8,Walmart,Department Store,"2542 Paul Squares Suite 563, New Daniel, DC, Canada",CA,112.68,https://logo.clearbit.com/walmart.com,https://www.walmart.com,FALSE,0.46,FALSE
3f581c50-3eca-43eb-816f-f13dd2534389,56:25.1,Loblaws,Grocery Store,"36948 Victoria Creek Apt. 664, Davischester, NV, Canada",CA,157.35,https://logo.clearbit.com/loblaws.ca,https://www.loblaws.ca,TRUE,0.75,FALSE
1058a28d-c4f8-4deb-9f11-1f36e4aeb415,55:41.4,Starbucks,Coffee Shops,"8335 Carol Bypass, South Danielstad, WY, Canada",CA,158.69,https://logo.clearbit.com/starbucks.com,https://www.starbucks.com,FALSE,0.71,FALSE
112135ce-bac4-41b7-93d0-88e410a87c61,47:36.3,Starbucks,Coffee Shops,"63994 Kathleen Common, East Jesse, KY, Canada",CA,143.09,https://logo.clearbit.com/starbucks.com,https://www.starbucks.com,FALSE,0.41,FALSE
8a9f97af-6709-4d9c-a772-42b6ff6512f4,51:57.0,Loblaws,Grocery Store,"3481 Williams Port Suite 101, Snyderborough, AZ, Canada",CA,140.04,https://logo.clearbit.com/loblaws.ca,https://www.loblaws.ca,TRUE,0.18,FALSE
15c6749c-ca7d-4efb-abfa-db2f9f4bf2b7,53:35.7,Netflix,Streaming Services,"116 Theresa Prairie Apt. 004, North Edward, OH, Canada",CA,133.38,https://logo.clearbit.com/netflix.com,https://www.netflix.com,FALSE,0.26,FALSE
52a9eb21-52c9-4913-878b-151ec11357c0,23:31.7,Apple,Technology,"1680 Nancy Rapids Apt. 342, Port Kaylaview, NY, Canada",CA,180.8,https://logo.clearbit.com/apple.com,https://www.apple.com,FALSE,0.35,FALSE
20fb8187-1c6a-4cfb-8358-c1df25acdc97,02:33.4,Indigo,Bookstore,"8420 Luis Club Suite 079, South Maryshire, CT, Canada",CA,227.59,https://logo.clearbit.com/indigo.ca,https://www.chapters.indigo.ca,TRUE,0.04,FALSE
1f5c1911-4341-411d-abd1-82d046992c38,54:23.5,Uber,Transportation,"15711 Wilson Wells Apt. 194, East Kevinmouth, TN, Canada",CA,195.91,https://logo.clearbit.com/uber.com,https://www.uber.com,TRUE,0.99,FALSE
c1dc9669-1a40-4871-9e01-bf04a899a8dc,53:03.2,Best Buy,Electronics,"814 David Ville, Rosalesport, MD, Canada",CA,176.73,https://logo.clearbit.com/bestbuy.ca,https://www.bestbuy.ca,FALSE,0.21,FALSE
6fdf8ec3-d946-4f4c-bbbc-dd74d7c0c94c,00:17.8,Indigo,Bookstore,"193 Alvarez Pass Suite 764, Lopezland, IA, Canada",CA,278.05,https://logo.clearbit.com/indigo.ca,https://www.chapters.indigo.ca,FALSE,0.09,TRUE
649929a5-daf6-4bfb-a743-7b1cc8b80e10,22:29.3,Loblaws,Grocery Store,"74916 Kimberly Heights, East Darlene, DE, Canada",CA,132.82,https://logo.clearbit.com/loblaws.ca,https://www.loblaws.ca,FALSE,0.26,FALSE
011b12ee-d435-4d41-a8f3-d53709153c3e,03:43.0,Amazon,Online Retail,"31535 Robert Shore, Churchburgh, MS, Canada",CA,260.93,https://logo.clearbit.com/amazon.com,https://www.amazon.com,TRUE,0.48,TRUE
41e0ecd3-2b7d-464c-ad18-0faaf63515f1,06:33.1,Apple,Technology,"5252 Singh Club Apt. 254, Leland, VT, Canada",CA,295.48,https://logo.clearbit.com/apple.com,https://www.apple.com,FALSE,0.56,TRUE
29c4262e-f4c8-418f-b798-f549fc74455d,48:23.8,Uber,Transportation,"856 Munoz Parkways Apt. 005, New Veronicamouth, NE, Canada",CA,451.13,https://logo.clearbit.com/uber.com,https://www.uber.com,FALSE,0.7,TRUE
ef5d7336-d4d8-4d7d-a6a1-fd813408253f,32:35.4,Tim Hortons,Coffee Shops,"55842 Shane Stream Apt. 726, Andersonstad, MO, Canada",CA,435.32,https://logo.clearbit.com/timhortons.ca,https://www.timhortons.ca,TRUE,0.16,TRUE
b00cabb2-fcce-45c0-9f44-f216a601a317,34:14.0,Apple,Technology,"0700 Kelly Shoal Suite 130, Hickschester, VI, Canada",CA,170.68,https://logo.clearbit.com/apple.com,https://www.apple.com,TRUE,0.19,FALSE
3df9b54e-8d49-4fef-abd0-3535ebd1cea2,44:46.5,Tim Hortons,Coffee Shops,"871 Adam Route, Ortizton, TX, Canada",CA,156.61,https://logo.clearbit.com/timhortons.ca,https://www.timhortons.ca,FALSE,0.55,FALSE
